source_record	record_before_sha256	assertion_before_sha256	before_edge_id	facet	source_position	role	provenance_class	disposition	reason	supporting_urls	fresh_role_approval
data/ingredients/mapped/2-fucosyllactose.yaml	bde00bf7772e8836de3a18247e7ba65b7a04c6242c5b59e16e35c97890ebb87a	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	MIM.assertion:76845e942f127c98399dd29447da53cf9b2c203f9be772d01e806e9efe815d5f	nutritional_roles	0	CARBON_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/2-mercaptoethanesulfonate.yaml	e8f3c1d4d2fa4db30af58424d9f800054d41d1bf7d0531d0a53dad443f276bae	07fd9f835e66b4f81882afb1022dcb0778d019c988fa2746463e7ed335192343	MIM.assertion:4d2320b152e1dd4252f12814ed86de644851600434d8d4e4046a4810a4f9f547	nutritional_roles	0	COFACTOR_PROVIDER	LLM_PREDICTION	OPEN_REQUIRES_ORIGINAL_SOURCE	Uncited in-session reasoning supplies no independent observation. Obtain a source supporting the exact role for the specified ingredient.		false
data/ingredients/mapped/2-mercaptoethanol.yaml	b32f24ce80193042971850fb87c4b1c8836eb8a72b09e9e1bd48ad0cfcfe84bd	1ebc231952c7b26c84f5098a04ce280ae03d92c47ec1430a34eb139b88a5b9a2	MIM.assertion:37d45f897e7ea10c8035deabd26366294eba3542a6f4d7cc6a97edcd92f759ad	physicochemical_roles	0	REDUCING_AGENT	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/22-Dipyridyl.yaml	af2ba12ce31a657f021bf003b3e8ca61851e2f458b38885b084b0df4b7af3fed	6a341bc3251a64e58a46cdfa02fe2125b7ceb31fb3dd6c04b9ff4a4fc1046e33	MIM.assertion:2077f15126bbcc2b0fdf8437982b3c0752a60ff1f988f01a0299245ef8f3ceca	physicochemical_roles	0	CHELATOR	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/2244688-heptamethylnonane.yaml	d053593ecc2cd59052f7e8aad88c3f4e1d1b28817ad5dd8f5da3e80bf17f4aa1	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	MIM.assertion:861f87076c723740b900df90c07de6c051a0de69d28e30bf4e89533b640e63c2	nutritional_roles	0	CARBON_SOURCE	LLM_PREDICTION	OPEN_REQUIRES_ORIGINAL_SOURCE	Uncited in-session reasoning supplies no independent observation. Obtain a source supporting the exact role for the specified ingredient.		false
data/ingredients/mapped/23-dihydroxybenzoic_Acid.yaml	a9833424856648828345709109550cf6be56264e00acd352a19ad620dc29a401	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	MIM.assertion:00648270e04d7dc30a3970b70dedccba73bd9f94dcae949caac3a35bf0be00da	nutritional_roles	0	CARBON_SOURCE	LLM_PREDICTION	OPEN_REQUIRES_ORIGINAL_SOURCE	Uncited in-session reasoning supplies no independent observation. Obtain a source supporting the exact role for the specified ingredient.		false
data/ingredients/mapped/235-Triphenyltetrazolium_Chloride.yaml	e2e49590efc40f1fc35fac9bac181d270ac48fc91c3dc3bdebde72904eebc7ae	0259562ca6ce2cbda3070b3f0bf0da8b647c21331f7bf54eda3bebe3bebe9688	MIM.assertion:608aae93ff83e7b7fb29d6175d1015f3540d3c3476719629f6490f0cc920b4fa	physicochemical_roles	0	REDOX_INDICATOR	LLM_PREDICTION	OPEN_REQUIRES_ORIGINAL_SOURCE	Uncited in-session reasoning supplies no independent observation. Obtain a source supporting the exact role for the specified ingredient.		false
data/ingredients/mapped/3-Chloro-L-tyrosine.yaml	9068e77f796c9714234627754561ef54188cdbd0d80fe3ef5d964093e1da6dc3	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	MIM.assertion:877374d7c556b914d36180c1e0e1b6529f4d9729f6d782b7858a6533757c52e7	nutritional_roles	0	AMINO_ACID_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/3-Hydroxypropionate.yaml	b6ce46168d98421fcf455b1b60400abea3a18ca938ff084f174abf144d091f30	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:22f53fff5dff91403eb44f95a907b24df597fc471ab96dddd38ecfdbd5bea520	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/3-O-Methyl-D-glucopyranose.yaml	658f45ec9c7467128265ac1f7dcf83da9b7d57b6e07b4493704aaa896f6aa455	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:3dfe73dbc7da69a0ad8967eeed0cabe9612ec8f810e5f3ed61420dd382172412	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	COUNTEREXAMPLE_TO_INFERENCE	The closely corresponding methylglucose transport study defeats the generic name-pattern rationale; this separately registered cyclic form still needs its own positive utilization evidence. Do not infer an exact identity from this comparison.	https://doi.org/10.1016/S0021-9258(19)77148-8	false
data/ingredients/mapped/3-O-methyl-glucose.yaml	94db4b3fd0beec97b1eca146749dfdd9e4d2b0512c51c99c9f24e154003952d1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:2d6c5ffab818ad0c55ef8973a1926ecb35584413c8876d171ff88e26575b0ecb	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	COUNTEREXAMPLE_TO_INFERENCE	The original Neurospora transport study distinguishes uptake of unmetabolized 3-O-methyl-D-glucose from glucose metabolism. Uptake/name similarity cannot certify carbon nutrition. No universal nonutilization claim is made.	https://doi.org/10.1016/S0021-9258(19)77148-8	false
data/ingredients/mapped/3-aminobutyric_Acid.yaml	e251b753d79dc0f3f45ccb1ffbb9a82fc61134d23c630d183a4616c93e4b72cb	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	MIM.assertion:dfb4a265cb9fb0e41465561bce63b635c7ced872fe27316e68918620a16bbf54	nutritional_roles	0	AMINO_ACID_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/3-fucosyllactose.yaml	42b31a88125f2631aa30c20666307b40a494373b1a747d36627a6278dd383f87	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:167f19e4057100e8fecac6229b3071432a4efda4dcb0d3afb58969540aeca5cd	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/3-hydroxybenzoic_Acid.yaml	f6160a3478f4c9f76b8d7a83a84c2b65b0ad5d5c8cca1b82155e5e6d1fdb5ecf	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	MIM.assertion:394f2f62ed6d7a474b78a15dfaa0d87cbddd8b24c4cf1a2751ab6fa10bc072cb	nutritional_roles	0	CARBON_SOURCE	LLM_PREDICTION	OPEN_REQUIRES_ORIGINAL_SOURCE	Uncited in-session reasoning supplies no independent observation. Obtain a source supporting the exact role for the specified ingredient.		false
data/ingredients/mapped/3-hydroxybutyric_Acid.yaml	ae88860da0aed468ee8bf9ab2751050a59459240efcac34d9c0a16dc0744dec2	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:9c2a985508399a0df6f311d9038380fb7597f9e8bc9cf67917ba3928adf4014b	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/3-sialyllactose_Sodium_Salt.yaml	56429ef25370e4fcf9496a5e4e8381515d809e658f8c2ae576b4fb1a192a097a	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:fd74bad2a214dcad9c9f08ea0a8ff632619b28693fefd5ea1f58224f96fbd9b2	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/4-Pyridoxic_Acid.yaml	869bee2538e8475c7993a2582fbd83adaec8087b22c56f4286908beaa74dd4b3	918bac91021e5325378db6c9197e2049db1e9666b75775490a91df6567ef66da	MIM.assertion:f98179bf4a8010cc50b6b5d4017da6510f85d1dc5425b00064cacb16e0e9c8bc	nutritional_roles	0	VITAMIN_SOURCE	ANCESTRY	SOURCE_CONTEXT_CONCERN	The inspected primary study identifies 4-pyridoxic acid as a vitamin-B6 catabolite in humans. Catabolite status does not establish a microbial vitamin supply role. Microbial vitamin rescue or salvage evidence remains required.	https://pubmed.ncbi.nlm.nih.gov/11756060/	false
data/ingredients/mapped/4-aminobenzoate.yaml	927670adb571f96eaccb4f2f0d7da5b633cdf4f68a75cbd3b3faab0df18430b8	fbd87a58eeee5c4abfa419f3c0484f31c23a06de9c808517085a4be44f73bb2e	MIM.assertion:00db522d5b24f12b597ed3f0686a7b21c9692c3310d1ecbbf58819fea5b345a2	nutritional_roles	0	VITAMIN_SOURCE	LLM_PREDICTION	OPEN_REQUIRES_ORIGINAL_SOURCE	Uncited in-session reasoning supplies no independent observation. Obtain a source supporting the exact role for the specified ingredient.		false
data/ingredients/mapped/4-azido-L-phenylalanine.yaml	cacd5a77c0591dcc655e4b541d02bbc8377da1c68d30bee5224e2020678f7439	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	MIM.assertion:fbdc3860cbe972331c665044e05700ffe09a0b2c5d475302e77c07c448523ea0	nutritional_roles	0	AMINO_ACID_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/4-hydroxybutyric_Acid.yaml	6781a19b96e24d37da9475dddafb149c9462e37b0f8c397f598ca8a8d7f155f0	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:ada5b5c6203157de53f83aa85c15256da9930767277aff2913cea49344003d66	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/4-hydroxyphenyl_Acetic_Acid.yaml	ce453fe01660537285720b57586f1f141fd88da554845ee0731d49bc508860b8	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	MIM.assertion:e790debdbd293197c106a45a448efc58aec02a8da12e8d31407f9854ca19a7e6	nutritional_roles	0	CARBON_SOURCE	LLM_PREDICTION	OPEN_REQUIRES_ORIGINAL_SOURCE	Uncited in-session reasoning supplies no independent observation. Obtain a source supporting the exact role for the specified ingredient.		false
data/ingredients/mapped/5-Aminolevulinic_Acid.yaml	5db988cbc1862a142c35787afafa854afe37d2dbae5957a2dacf4ad694b23047	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	MIM.assertion:8f83910148ad4780799e6550d7102bca05dbebc7992fc89c56a6d243be88005a	nutritional_roles	0	AMINO_ACID_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/5-Keto-D-Gluconic_Acid_Potassium_Salt.yaml	4715d7c9d7bb965f7f3db53cf64b2cfb1ac1a748dc0af3b38ca38ca5c888e42f	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:9aad04255746717eaca4dab8477ef28de7f6ef2ab84efd8be102a2709808f1d7	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/5-Keto-D-Gluconic_Acid_Potassium_Salt.yaml	4715d7c9d7bb965f7f3db53cf64b2cfb1ac1a748dc0af3b38ca38ca5c888e42f	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	MIM.assertion:a663af715c6bf8d31cf01a347564650c39c473a88d7c238c7ac31755632ca4a0	nutritional_roles	1	ENERGY_SOURCE	ENERGY_TEMPLATE	OPEN_REQUIRES_ORIGINAL_SOURCE	A generic energy-substrate template does not record a supporting organism, culture condition, or utilization experiment. Source-confirm this precise stereochemical and supplied form.		false
data/ingredients/mapped/5-aminovaleric_Acid.yaml	c619f43c8d0bab3cf84ebb74359aa9d005b56e118ba3ef4639d3702b340d8df7	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	MIM.assertion:faab39233dde194f881c41cfee6c58e1ab6cf908b93a58401dc33f0ab865a86f	nutritional_roles	0	AMINO_ACID_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/6-O-Acetyl-D-glucose.yaml	38cdc303f8d0473f059bf3d62092132692d95f70c04a671908f1a589a1a3fa7c	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:530b9a33393e41393b0fa24ca237311c77789cd3b35d0d37db7f58841672cf48	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/6-O-Acetyl-D-glucose.yaml	38cdc303f8d0473f059bf3d62092132692d95f70c04a671908f1a589a1a3fa7c	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	MIM.assertion:0cd517800cb7f71434f0b978c42e2214e5242dc7f14c682cb911b2a8f779903a	nutritional_roles	1	ENERGY_SOURCE	ENERGY_TEMPLATE	OPEN_REQUIRES_ORIGINAL_SOURCE	A generic energy-substrate template does not record a supporting organism, culture condition, or utilization experiment. Source-confirm this precise stereochemical and supplied form.		false
data/ingredients/mapped/6-O-sialyllactose_Sodium_Salt.yaml	f2ddbc9dd0209c5ed904ebfa976bbc245cc84d951f57c4d0a91a6c10bad0ba41	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:ab16acbe320dbcc1729d60671462e5611cdfc195366c90f790dd57a713fe7a42	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/A-Cyclodextrin.yaml	b8b0cdff9ec1b79cb23d8b4b3ba2439530fe37513e956df099a896a3591d714d	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	MIM.assertion:613f242d864aa7218813902f39bd3dfcc2fc2dd280e316315ced2085ac53a4a0	nutritional_roles	0	CARBON_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/A-Ketoglutaric_Acid_Disodium_Salt_Hydrate.yaml	09dcea028f806cc4d490096bd79e8e1391c27d23ff523f97e732016ab83f0450	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:61039bfb71205d8ddfea8a521a627ab7c2354506ce7771e32e7a3822c8c32c5e	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/A-Ketoglutaric_Acid_Disodium_Salt_Hydrate.yaml	09dcea028f806cc4d490096bd79e8e1391c27d23ff523f97e732016ab83f0450	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	MIM.assertion:ada9e8e5522593ef3c101f02c7607ae9070c63ae8d1baaee00afdc3adeb0586c	nutritional_roles	1	ENERGY_SOURCE	ENERGY_TEMPLATE	OPEN_REQUIRES_ORIGINAL_SOURCE	A generic energy-substrate template does not record a supporting organism, culture condition, or utilization experiment. Source-confirm this precise stereochemical and supplied form.		false
data/ingredients/mapped/Aburamycin_A.yaml	1e8bbe2d44aa052f9611807ae18068c5c80de30eafbd1ceafa8246cc499b7601	f8022e7f4b0dc2d5ac8bfee6907fef9eff7506632cd4a11eac620af6777da28b	MIM.assertion:4c1112d681729f4e3444b8c64c185f0f357d975fc4f6c9d9f63f983a39e5985c	physicochemical_roles	0	SELECTIVE_AGENT	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/Abyssomicin_B.yaml	efe32f4e766299de8dfb6b2ded78214ca6c97186a7bead132e1fdf37400cf46f	f8022e7f4b0dc2d5ac8bfee6907fef9eff7506632cd4a11eac620af6777da28b	MIM.assertion:1030f592087cb6fad7518e91f47054095a7c44ac614118f820bd748274cd39db	physicochemical_roles	0	SELECTIVE_AGENT	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/Abyssomicin_D.yaml	a690df5475b0fbbad01dca95f3afd96dff58d64980d36af56420faa102180994	f8022e7f4b0dc2d5ac8bfee6907fef9eff7506632cd4a11eac620af6777da28b	MIM.assertion:8502b02851f3b8d91ed419c0bd8028cb0d35a2b8932e005c977cae71778f459c	physicochemical_roles	0	SELECTIVE_AGENT	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/Abyssomicin_G.yaml	2fa726b15b881eb658b52e9dc948a7f7d8da8576561d6d4901e167395f46ad17	f8022e7f4b0dc2d5ac8bfee6907fef9eff7506632cd4a11eac620af6777da28b	MIM.assertion:d0ef5be6b5fe139481a5daa15d62233dcaee657c67f6639ff1e6e6e4ad1af5ae	physicochemical_roles	0	SELECTIVE_AGENT	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/Abyssomicin_H.yaml	06abd4f73cfcd093312622a2d40c84e6f7f5121381559b57f7682de478726c8d	f8022e7f4b0dc2d5ac8bfee6907fef9eff7506632cd4a11eac620af6777da28b	MIM.assertion:1083a65d53e4e3d9bf14eb21a4d2e5f4f67aefefbdea395f2549908d88d7729a	physicochemical_roles	0	SELECTIVE_AGENT	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/Acetate.yaml	903a76864cf76781d05225e3520f3167a1815508bf9fdf8538cf10daf8c78fce	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	MIM.assertion:ec6a42332d30d30905fc9380686916211b00f8e83e6cfb5c0848de5e4349715f	nutritional_roles	1	ENERGY_SOURCE	ENERGY_TEMPLATE	OPEN_REQUIRES_ORIGINAL_SOURCE	A generic energy-substrate template does not record a supporting organism, culture condition, or utilization experiment. Source-confirm this precise stereochemical and supplied form.		false
data/ingredients/mapped/Acetate.yaml	903a76864cf76781d05225e3520f3167a1815508bf9fdf8538cf10daf8c78fce	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:7b14697024cd079bad8092a2ec95a9dc94c053290787ca3df381c28afaf0549a	nutritional_roles	2	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
