preferred_term	identifier	ontology_label	occurrences	cas_rn_current	stated_hydration	known_hydrates	hydration_valid	cas_verdict	cas_correct_or_UNKNOWN	grounding_verdict	recommended_target_curie	action	confidence	notes	source_rows_in_culturemech	mediadive_compound_id	sssom_predicate_published	defect_origin
CuCl2 x 5 H2O	CHEBI:91245	copper(II) chloride pentahydrate	29		pentahydrate	dihydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:91245	NEEDS_SOURCE	medium	Probably CuCl2 x 2 H2O; phase-equilibrium evidence supports anhydrous CuCl2 and the dihydrate, not a stable pentahydrate. The exact label is upstream MediaDive compound 838 and occurs in 39 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:91245 (copper(II) chloride pentahydrate) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	39	838	skos:exactMatch	MEDIADIVE_UPSTREAM
Na2SiO3 x 9 H2O	CHEBI:132108	sodium silicate nonahydrate	28	13517-24-3	nonahydrate	pentahydrate; nonahydrate	TRUE	MATCHES_HYDRATE	13517-24-3	CORRECT	CHEBI:132108	OK	high	The named nonahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	30	903	skos:exactMatch	NONE
MgSO4 x 6 H2O	CHEBI:32599	magnesium sulfate	20	7487-88-9	hexahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	none exists	MINT	medium	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees. An exact external ontology hydrate term is unavailable or unconfirmed, so a dedicated kg-microbe identity is appropriate. The current CAS is the anhydrous parent, not the stated hydrate. Published SSSOM skos:exactMatch to CHEBI:32599 (magnesium sulfate) cannot hold under this chemistry verdict; this false identity is already graph-facing.	31	679	skos:exactMatch	MIM
Na2HPO4 x 7 H2O	kgmicrobe.compound:na2hpo4_x_7_h2o	disodium hydrogenphosphate	19	7782-85-6	heptahydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	MATCHES_HYDRATE	7782-85-6	CORRECT	kgmicrobe.compound:na2hpo4_x_7_h2o	OK	medium	The named heptahydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity.	26	753	skos:exactMatch	NONE
MgCl2 x 2 H2O	CHEBI:131394	magnesium dichloride dihydrate	18	19098-17-0	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate	TRUE	MATCHES_HYDRATE	19098-17-0	CORRECT	CHEBI:131394	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	28	651	skos:closeMatch	NONE
Fe(NH4)2(SO4)2 x 7 H2O	CHEBI:131378	ferrous ammonium sulfate heptahydrate	17		heptahydrate	hexahydrate; heptahydrate reported in registries but not established as the standard phase	UNCERTAIN	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:131378	NEEDS_SOURCE	medium	Mohr salt is securely established as the hexahydrate; a heptahydrate registry/ChEBI record exists but needs a primary phase or recipe source.	24	456	skos:closeMatch	MEDIADIVE_UPSTREAM
MnSO4 x 2 H2O	CHEBI:86356	manganese(II) sulfate dihydrate	16		dihydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:86356	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	24	258	skos:closeMatch	NONE
D-Trehalose dihydrate	CHEBI:232797	trehalose dihydrate	15	6138-23-4	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	6138-23-4	CORRECT	CHEBI:232797	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	15	NA	skos:closeMatch	NONE
a-Ketoglutaric acid disodium salt hydrate	cas:305-72-6	2-oxoglutaric acid	13	305-72-6	hydrate (unspecified stoichiometry)	hydrate (unspecified stoichiometry)	UNSPECIFIED	OTHER	UNKNOWN	CORRECT	cas:305-72-6	NEEDS_SOURCE	low	The label says only hydrate; CAS/formula metadata does not securely establish a unique water stoichiometry, so the original recipe or supplier is required.	11	NA	skos:exactMatch	CULTUREMECH
NiCl2 x 2 H2O	kgmicrobe.compound:nicl2_x_2_h2o	nickel dichloride	13		dihydrate	dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate	TRUE	NO_CAS_PROVIDED	17638-48-1	CORRECT	kgmicrobe.compound:nicl2_x_2_h2o	OK	medium	The named dihydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity.	21	981	skos:exactMatch	NONE
VOSO4 x 5 H2O	CHEBI:132758	vanadyl sulfate pentahydrate	12	14708-82-8	pentahydrate	dihydrate; trihydrate; pentahydrate	TRUE	MATCHES_HYDRATE	14708-82-8	CORRECT	CHEBI:132758	OK	high	The named pentahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	15	277	skos:closeMatch	NONE
Aluminum chloride hydrate	cas:10124-27-3	Aluminum Chloride	11	10124-27-3	hydrate (unspecified stoichiometry)	hydrate (unspecified stoichiometry)	UNSPECIFIED	OTHER	UNKNOWN	CORRECT	cas:10124-27-3	NEEDS_SOURCE	low	The label says only hydrate; CAS/formula metadata does not securely establish a unique water stoichiometry, so the original recipe or supplier is required.	6	NA	skos:exactMatch	CULTUREMECH
ammonium molybdate tetrahydrate	cas:12054-85-2	ammonium molybdate	11	12054-85-2	tetrahydrate	tetrahydrate	TRUE	MATCHES_HYDRATE	12054-85-2	CORRECT	cas:12054-85-2	OK	medium	The named tetrahydrate is a registered commercial crystal form; the CAS identity is hydrate-specific even where the parent ontology label is broader.	10	NA	skos:exactMatch	NONE
MgCl2 x 7 H2O	kgmicrobe.compound:mgcl2_x_7_h2o	magnesium dichloride	11	12285-34-6	heptahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate	FALSE	OTHER	UNKNOWN	CORRECT	kgmicrobe.compound:mgcl2_x_7_h2o	NEEDS_SOURCE	high	Probably MgCl2 x 6 H2O; magnesium chloride has several hydrates but no stable heptahydrate. The current CAS denotes a different or unspecified hydration state, not this exact hydrate. The exact label is upstream MediaDive compound 632 and occurs in 19 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:mgcl2_x_7_h2o (MgCl2 x 7 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	19	632	skos:exactMatch	MEDIADIVE_UPSTREAM
Na2HAsO4 x 7 H2O	CHEBI:91257	disodium hydrogenarsenate heptahydrate	11	10048-95-0	heptahydrate	heptahydrate	TRUE	MATCHES_HYDRATE	10048-95-0	CORRECT	CHEBI:91257	OK	high	The named heptahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	14	520	skos:exactMatch	NONE
Sodium glutamate monohydrate	CHEBI:232425	monosodium L-glutamate hydrate	11	6106-04-3	monohydrate	monohydrate	TRUE	MATCHES_HYDRATE	6106-04-3	CORRECT	CHEBI:232425	OK	high	The named monohydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	16	1291	skos:exactMatch	NONE
Sodium succinate dibasic hexahydrate	CHEBI:63686	sodium succinate hexahydrate	11	6106-21-4	hexahydrate	hexahydrate	TRUE	MATCHES_HYDRATE	6106-21-4	CORRECT	CHEBI:63686	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	11	NA	skos:closeMatch	NONE
FeSO4 x 6 H2O	CHEBI:75832	iron(2+) sulfate (anhydrous)	10	7720-78-7	hexahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	none exists	MINT	medium	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees. An exact external ontology hydrate term is unavailable or unconfirmed, so a dedicated kg-microbe identity is appropriate. The current CAS is the anhydrous parent, not the stated hydrate. Published SSSOM skos:exactMatch to CHEBI:75832 (iron(2+) sulfate (anhydrous)) cannot hold under this chemistry verdict; this false identity is already graph-facing.	20	1217	skos:exactMatch	MIM
D-Maltose monohydrate	cas:6363-53-7	maltose	9	6363-53-7	monohydrate	monohydrate	TRUE	MATCHES_HYDRATE	6363-53-7	CORRECT	cas:6363-53-7	OK	medium	The named monohydrate is a registered commercial crystal form; the CAS identity is hydrate-specific even where the parent ontology label is broader.	6	NA	skos:exactMatch	NONE
Sodium acetate trihydrate	CHEBI:32138	sodium acetate trihydrate	8	6131-90-4	trihydrate	trihydrate	TRUE	MATCHES_HYDRATE	6131-90-4	CORRECT	CHEBI:32138	OK	high	The named trihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	14	1954	skos:closeMatch	NONE
CaCl2 x 7 H2O	kgmicrobe.compound:cacl2_x_7_h2o	calcium dichloride	7	10043-52-4	heptahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	CORRECT	kgmicrobe.compound:cacl2_x_7_h2o	NEEDS_SOURCE	high	Probably CaCl2 x 6 H2O; calcium chloride has stable 1-, 2-, 4-, and 6-hydrates, not a heptahydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 479 and occurs in 11 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:cacl2_x_7_h2o (CaCl2 x 7 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	11	479	skos:exactMatch	MEDIADIVE_UPSTREAM
CoCl2 x 4 H2O	kgmicrobe.compound:cocl2_x_4_h2o	cobalt dichloride	7	7646-79-9	tetrahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	CORRECT	kgmicrobe.compound:cocl2_x_4_h2o	FIX_CAS	high	The named tetrahydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity. Hydrate and anhydrous/different-hydrate CAS identities must remain separate. The current CAS is the anhydrous parent, not the stated hydrate.	8	626	skos:exactMatch	MIM
FeCl2 x 7 H2O	kgmicrobe.compound:fecl2_x_7_h2o	iron dichloride	7	7758-94-3	heptahydrate	dihydrate; tetrahydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	CORRECT	kgmicrobe.compound:fecl2_x_7_h2o	NEEDS_SOURCE	high	Probably FeCl2 x 4 H2O; no stable iron(II) chloride heptahydrate is established. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 840 and occurs in 9 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:fecl2_x_7_h2o (FeCl2 x 7 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	9	840	skos:exactMatch	MEDIADIVE_UPSTREAM
CuCl2 x 6 H2O	kgmicrobe.compound:cucl2_x_6_h2o	copper(II) chloride	6	7447-39-4	hexahydrate	dihydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	CORRECT	kgmicrobe.compound:cucl2_x_6_h2o	NEEDS_SOURCE	high	Probably CuCl2 x 2 H2O; the established crystalline hydrate of copper(II) chloride is the dihydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 1056 and occurs in 8 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:cucl2_x_6_h2o (CuCl2 x 6 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	8	1056	skos:exactMatch	MEDIADIVE_UPSTREAM
