identifier	collection	record_count	members_fingerprint	disposition	same_after_folding	hydrate_markers	preferred_terms
CHEBI:53470	mapped	2	7550060c0920	HYDRATE_FAMILY_UNREVIEWED	false	1	CoSO4 | CoSO4 x 7 H2O
CHEBI:61490	mapped	2	22abf6cf6872	MERGE_SAME_SUBSTANCE	true	0	poly(L-lysine) polymer | Poly L Lysine Polymer
CHEBI:63005	mapped	2	cef9162a41fc	MERGE_SAME_SUBSTANCE	false	0	NaNO3 | Sodium nitrate (nitrogen source)
CHEBI:64734	mapped	2	2e2d681a17f3	HYDRATE_FAMILY_UNREVIEWED	false	1	Na2-EDTA | Na2-EDTA x 2 H2O
CHEBI:6636	mapped	3	93c7f95b60c8	HYDRATE_FAMILY_UNREVIEWED	false	2	MgCl2 | MgCl2 x 7 H2O | MgCl2x 6 H2O
CHEBI:75215	mapped	2	ea741d04db79	HYDRATE_FAMILY_UNREVIEWED	false	1	Na2MoO4 | Na2MoO4·2H2O
CHEBI:75832	mapped	4	2f1cce08f87c	HYDRATE_FAMILY_UNREVIEWED	false	3	FeSO4 | FeSO4 x 5 H2O | FeSO4 x 6 H2O | FeSO4 x 7H2O
CHEBI:86149	mapped	2	85af0e41634e	HYDRATE_FAMILY_UNREVIEWED	false	1	(NH4)2Ni(SO4)2 | (NH4)2Ni(SO4)2 x 6 H2O
CHEBI:86158	mapped	2	ca73741f0722	HYDRATE_FAMILY_UNREVIEWED	false	2	CaCl22H2O | CaCl2 x 2 H2O
CHEBI:86345	mapped	2	44bec8b9a6b0	HYDRATE_FAMILY_UNREVIEWED	false	1	Magnesium chloride | MgCl2 x 6 H2O
CHEBI:86360	mapped	3	b56d0c295de0	HYDRATE_FAMILY_UNREVIEWED	false	2	MnSO4 | MnSO4 x 1 H2O | MnSO4 x 7 H2O
CHEBI:86477	mapped	2	c051eb6ed6e9	HYDRATE_FAMILY_UNREVIEWED	false	1	Na2SO3 | Na2SO3 x 5 H2O
CHEBI:91248	mapped	2	5da0a421309f	HYDRATE_FAMILY_UNREVIEWED	false	2	L-Cysteine HCl x H2O | L-Cysteine hydrochloride monohydrate
ENVO:00001998	mapped	2	bb9b7331ee0d	NEEDS_OWN_ID_MEMBER_UNDECIDED	false	0	CR1 Soil | Soil
ENVO:00002149	mapped	2	9e9b853789fa	MERGE_SAME_SUBSTANCE	true	0	Sea water | Seawater
ENVO:00002263	mapped	2	07ffa5557ef0	NEEDS_OWN_ID_MEMBER_UNDECIDED	false	0	air-dried garden soil | Garden soil
FOODON:03315720	mapped	4	d9f473e2f9e4	NEEDS_OWN_ID_MEMBER_UNDECIDED	false	0	Soy peptone | Soya peptone | Phytone | Soya pepton
MICRO:0000113	mapped	2	1f35a37cb3b2	MERGE_SAME_SUBSTANCE	false	0	Bacto Tryptic Soy Broth | Bacto Tryptic Soy Broth (Difco)
MICRO:0000114	mapped	2	02c9c6c355f6	MERGE_SAME_SUBSTANCE	false	0	Bacto Tryptic Soy Agar | Bacto Tryptic Soy Agar (Difco)
MICRO:0000175	mapped	2	f7e7c87ce98e	NEEDS_OWN_ID_MEMBER_UNDECIDED	false	0	Trypticase | Trypticase peptone
MICRO:0000178	mapped	2	25552c1bf0fd	NEEDS_OWN_ID_MEMBER_UNDECIDED	false	0	Bacto peptone | Peptone
MICRO:0000182	mapped	3	1043b3d714a5	NEEDS_OWN_ID_MEMBER_UNDECIDED	false	0	Bacto-tryptone | Tryptone | Tryptone peptone
MICRO:0000193	mapped	3	95150e508335	NEEDS_OWN_ID_MEMBER_UNDECIDED	false	0	Bacto brain heart infusion | Brain heart infusion | Brain heart infusion broth
MICRO:0000455	mapped	2	49cfa90747e6	NEEDS_OWN_ID	false	0	Algal Trace Elements Solution | WC Trace Elements Solution
MICRO:0001363	mapped	3	10ab0fb4ef1f	NEEDS_OWN_ID	false	0	Liver extract | Liver extract concentrate | Liver extract infusion
NCIT:C896	mapped	3	f863db6d07a4	NEEDS_OWN_ID	false	0	Trace element solution | Trace element solution SL-10 | Zeikus trace element solution
cas:39280-21-2	mapped	2	8161138fee39	NEEDS_OWN_ID	false	0	Rhamnogalacturonan from soy bean pectic fibre | Rhamnogalacturonan I from potato pectic fiber
cas:84082-64-4	mapped	2	687925512b1a	NEEDS_OWN_ID	false	0	Mucin from porcine stomach,Type II | Mucin from porcine stomach type III
cas:9036-88-8	mapped	2	86bd3d150fbd	NEEDS_OWN_ID	false	0	b-Mannan borohydrate reduced carob seed | Mannan from Saccharomyces cerevisiae
mesh:C025349	mapped	2	1deccec1fd17	MERGE_SAME_SUBSTANCE	false	0	Sodium Metasilicate | Sodium metasilicate (silicate for diatom frustules)
