identifier	source_label	mapping_type	strategy	component_curies	confidence	note
UNMAPPED_0715	1-propanol+CO2	decompose	split	CHEBI:28831:propan-1-ol|CHEBI:16526:carbon dioxide	high	Alcohol donor + CO2 acceptor.
UNMAPPED_0679	2-butanol+CO2	decompose	split	CHEBI:35687:butan-2-ol|CHEBI:16526:carbon dioxide	high	Secondary-alcohol donor + CO2 acceptor.
UNMAPPED_0674	2-propanol+CO2	decompose	split	CHEBI:17824:propan-2-ol|CHEBI:16526:carbon dioxide	high	Isopropanol donor + CO2 acceptor.
UNMAPPED_0701	cyclopentanol+CO2	decompose	split	CHEBI:16133:cyclopentanol|CHEBI:16526:carbon dioxide	high	Alcohol donor + CO2 acceptor. Single-compound cyclopentanol CHEBI:16133 (not class CHEBI:23495).
UNMAPPED_0702	Glucose + Acetate	decompose	split	CHEBI:17234:glucose|CHEBI:30089:acetate	high	Two carbon substrates.
UNMAPPED_0750	Glucose + Formate	decompose	split	CHEBI:17234:glucose|CHEBI:15740:formate	high	Two substrates.
UNMAPPED_0751	Glucose + Lactate	decompose	split	CHEBI:17234:glucose|CHEBI:24996:lactate	high	Two substrates.
UNMAPPED_0754	Glucose + Xylose	decompose	split	CHEBI:17234:glucose|CHEBI:18222:xylose	high	Two sugars.
UNMAPPED_0748	Gallate + Formate	decompose	split	CHEBI:16918:gallate|CHEBI:15740:formate	high	Gallate = conjugate base of gallic acid.
UNMAPPED_0777	Yeast Extract + Gluconate	decompose	split	FOODON:03315426:yeast extract|CHEBI:18391:D-gluconate	medium	Gluconate in media is D-form (sodium D-gluconate); label stereo-unspecified.
UNMAPPED_0780	Yeast Extract + Sulfur	decompose	split	FOODON:03315426:yeast extract|CHEBI:26833:sulfur	high	Yeast extract + elemental sulfur.
UNMAPPED_0705	Sucrose + Yeast Extract	decompose	split	CHEBI:17992:sucrose|FOODON:03315426:yeast extract	high	Sucrose + yeast extract.
