old_curie	current_curie	retired_at	reason
MIM:LCFM_Carbon_mix	MIM:LCFM_Carbon_Mix	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Legionella_agar_enrichment	MIM:Legionella_Agar_Enrichment	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:MES_buffer	MIM:MES_Buffer	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:MWC_Metal_Solution	MIM:Mwc_Metal_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Macro_Component_1_for_J_Medium	MIM:Macro_Component_1_For_J_Medium	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Macro_Component_2_for_J_medium	MIM:Macro_Component_2_For_J_Medium	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Magnesium(2)	MIM:Magnesium~282~29	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:Menadione_solution	MIM:Menadione_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Metall_salt_sol_44	MIM:Metall_Salt_Sol_44	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Methyl_(R)-lactate	MIM:Methyl_~28R~29-lactate	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:Micronutrient_solution	MIM:Micronutrient_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Mineral_3B_solution	MIM:Mineral_3B_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Mineral_3B_solution_minus_Nitrogen	MIM:Mineral_3B_Solution_Minus_Nitrogen	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Mineral_3B_solution_minus_phosphorus	MIM:Mineral_3B_Solution_Minus_Phosphorus	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Mineral_salts_base	MIM:Mineral_Salts_Base	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Modified_P-IV_chelated_Micronutrient_Solution	MIM:Modified_P-iv_Chelated_Micronutrient_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Modified_trace_vitamins	MIM:Modified_Trace_Vitamins	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Murashige-Skoog_basal_salts	MIM:Murashige-Skoog_Basal_Salts	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Na-phosphate_buffer	MIM:Na-phosphate_Buffer	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Na2HPO4-KH2PO4_buffer	MIM:Na2HPO4-KH2PO4_Buffer	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Na2HPO4-NaH2PO4_buffer	MIM:Na2HPO4-NaH2PO4_Buffer	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:P-II_Metal_Solution	MIM:P-ii_Metal_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:P-IV_Metal_Solution	MIM:P-iv_Metal_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:PIPES_buffer	MIM:PIPES_Buffer	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Poly_ethylene_Terephthalate	MIM:Poly~28ethylene_Terephthalate~29	2026-08-21	subject_stem: the stem itself changed (character stripped, or the record was relabelled); verified same record by identical subject_label + object_id + predicate_id
MIM:Rumen_fluid	MIM:Rumen_Fluid	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Salts_solution	MIM:Salts_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Sea_salts	MIM:Sea_Salts	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Skirrow_supplement	MIM:Skirrow_Supplement	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Sodium	MIM:Sodium~28~29	2026-08-21	subject_stem: the stem itself changed (character stripped, or the record was relabelled); verified same record by identical subject_label + object_id + predicate_id
MIM:Spir_solution	MIM:Spir_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Steric_solution	MIM:Steric_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Sulfur-free_DL_minerals	MIM:Sulfur-free_DL_Minerals	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Sulfur_free_mineral_mix	MIM:Sulfur_Free_Mineral_Mix	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Synthetic_Sea_Salts_sss	MIM:Synthetic_Sea_Salts_~28sss~29	2026-08-21	subject_stem: the stem itself changed (character stripped, or the record was relabelled); verified same record by identical subject_label + object_id + predicate_id
MIM:TYG_salts_solution	MIM:TYG_Salts_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Thauers_vitamin_mix	MIM:Thauers_Vitamin_Mix	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Thauers_vitamin_mix_no_Biotin	MIM:Thauers_Vitamin_Mix_No_Biotin	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Thiamine_Pyrophosphate	MIM:Thiamine_pyrophosphate	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Trace_metal_solution	MIM:Trace_Metal_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Trace_mineral_solution	MIM:Trace_Mineral_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Trace_minerals	MIM:Trace_Minerals	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Tryptoneyeastbeef_(tyb)	MIM:Tryptoneyeastbeef_~28tyb~29	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:UW_concentrated_base	MIM:UW_Concentrated_Base	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:UW_concentrated_base_no_Mo	MIM:UW_Concentrated_Base_No_Mo	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:UW_concentrated_base_no_sulfur	MIM:UW_Concentrated_Base_No_Sulfur	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Vitamins_solution	MIM:Vitamins_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Wolfes_mineral_mix	MIM:Wolfes_Mineral_Mix	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Wolfes_mineral_mix_minus_Nitrilotriacetic_acid	MIM:Wolfes_Mineral_Mix_minus_Nitrilotriacetic_acid	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Wolfes_vitamin_mix	MIM:Wolfes_Vitamin_Mix	2026-08-21	subject_case: published spelling predates a filename case change git did not record
