subject_id	token	owned_by	disposition
MIM:L-asparagine	ASPARAGINE	MIM:Asparagine	UNREVIEWED
MIM:L-cysteine	CYSTEINE	MIM:Cysteine	UNREVIEWED
MIM:L-glutamic_Acid	GLUTAMIC ACID	MIM:Glutamic_Acid	UNREVIEWED
MIM:L-proline	PROLINE	MIM:Proline	UNREVIEWED
MIM:L-tryptophan	Tryptophan	MIM:Tryptophan	UNREVIEWED
MIM:Licl	Lithium chloride hydrate	MIM:Lithium_Chloride_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:MES_Hydrat	MES [2-(N-morpholino) ethane sulfonic acid]	MIM:Mes_2-_N-morpholino_Ethane_Sulfonic_Acid	UNREVIEWED
MIM:Magnesium_Chloride	MgCl2 x 6 H2O	MIM:Mgcl2_X_6_H2o	HYDRATE_FAMILY_UNREVIEWED
MIM:Maltose	Maltose Hydrate	MIM:Maltose_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Maltotriose	Maltotriose hydrate	MIM:Maltotriose_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Mgso4_X_7_H2o	MgSO4·H2O	MIM:Mgso4h2o	HYDRATE_FAMILY_UNREVIEWED
MIM:Na2co3	Sodium carbonate solution	MIM:Sodium_Carbonate_Solution	UNREVIEWED
MIM:Na2glycerophosphate5h2o	Glycerol 3-phosphate	MIM:Glycerol_3-phosphate	UNREVIEWED
MIM:Na2so3	Na2SO3 x 5 H2O	MIM:Na2so3_X_5_H2o	HYDRATE_FAMILY_UNREVIEWED
MIM:Nh42ni_So42	(NH4)2Ni(SO4)2 x 6 H2O	MIM:Nh42ni_So42_X_6_H2o	HYDRATE_FAMILY_UNREVIEWED
MIM:Palatinose	palatinose hydrate	MIM:Palatinose_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Phosphorous_Acid	Sodium phosphite dibasic pentahydrate	MIM:Sodium_Phosphite_Dibasic_Pentahydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Sn-Glycerol_3-phosphate_Lithium_Salt	Glycerol 3-phosphate	MIM:Glycerol_3-phosphate	UNREVIEWED
MIM:Sn-glycerol_3-phosphate_Bis_Cyclohexylammonium_Salt	Glycerol 3-phosphate	MIM:Glycerol_3-phosphate	UNREVIEWED
MIM:Sodium_Carbonate_Monohydrate	Sodium carbonate solution	MIM:Sodium_Carbonate_Solution	HYDRATE_FAMILY_UNREVIEWED
MIM:Sodium_Deoxycholate	Sodium deoxycholate monohydrate	MIM:Sodium_Deoxycholate_Monohydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Sodium_Nitrate_070_M_Stock	NaNO3	MIM:Nano3	UNREVIEWED
MIM:Sodium_Perchlorate	Sodium perchlorate monohydrate	MIM:Sodium_Perchlorate_Monohydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Sodium_Succinate_Dibasic	Sodium succinate	MIM:Sodium_Succinate	UNREVIEWED
MIM:Stachyose_-_70	Stachyose hydrate	MIM:Stachyose_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Vancomycin_Hydrochloride_From_Streptomyces_Orientalis	Vancomycin Hydrochloride Hydrate	MIM:Vancomycin_Hydrochloride_Hydrate	HYDRATE_FAMILY_UNREVIEWED
